month,region,product_line,revenue,conversion_rate,churn_rate,new_customers,customer_retention,support_tickets
2023-10,Americas,SMB,131700,13.5,2.8,67,97.1,10
2023-10,Americas,Consumer,81300,7.8,5.7,171,94.5,51
2023-10,EMEA,Enterprise,197800,19.1,1.5,39,98.5,13
2023-10,EMEA,SMB,114000,13.4,3.1,67,96.9,21
2023-10,EMEA,Consumer,60400,7.7,5.5,130,94.6,31
2023-10,APAC,Enterprise,161000,17.8,1.5,29,98.6,10
2023-10,APAC,SMB,93800,12.5,3.2,59,96.6,13
2023-10,APAC,Consumer,52800,7.9,5.4,120,94.6,41
2023-10,LATAM,Enterprise,110100,16.6,1.2,25,98.9,10
2023-10,LATAM,SMB,61500,11.6,3.2,43,96.7,10
2023-10,LATAM,Consumer,34500,6.5,5.2,75,94.8,16
2023-11,Americas,Enterprise,232000,20.6,1.6,57,98.4,17
2023-11,Americas,SMB,135600,13.9,2.7,77,97.2,16
2023-11,Americas,Consumer,86000,7.9,5.5,172,94.4,40
2023-11,EMEA,Enterprise,200900,19.9,1.5,39,98.4,10
2023-11,EMEA,SMB,113500,14.7,3.2,65,96.8,10
2023-11,EMEA,Consumer,63000,8.9,5.3,148,94.7,41
2023-11,APAC,Enterprise,174700,18.4,1.2,39,98.9,10
2023-11,APAC,SMB,98200,12.7,3.0,56,96.8,14
2023-11,APAC,Consumer,53000,8.2,5.5,117,94.6,35
2023-11,LATAM,Enterprise,113400,17.2,1.7,21,98.1,10
2023-11,LATAM,SMB,66100,12.4,3.1,33,96.9,13
2023-11,LATAM,Consumer,36800,7.0,5.4,87,94.6,22
2023-12,Americas,Enterprise,256100,21.4,1.2,51,98.7,15
2023-12,Americas,SMB,140700,15.2,2.8,82,97.3,24
2023-12,Americas,Consumer,87600,8.3,5.4,181,94.7,48
2023-12,EMEA,Enterprise,212600,20.7,1.2,45,98.7,10
2023-12,EMEA,SMB,122400,14.2,3.1,73,96.8,10
2023-12,EMEA,Consumer,67100,9.1,5.6,139,94.4,40
2023-12,APAC,Enterprise,185500,19.7,1.6,38,98.4,10
2023-12,APAC,SMB,103000,13.5,3.1,59,97.0,20
2023-12,APAC,Consumer,56300,8.3,5.4,134,94.5,41
2023-12,LATAM,Enterprise,118500,18.2,1.5,29,98.4,10
2023-12,LATAM,SMB,66300,13.2,3.2,43,96.6,10
2023-12,LATAM,Consumer,36500,7.8,5.6,87,94.4,31
2024-01,Americas,Enterprise,233300,20.2,1.2,45,98.9,10
2024-01,Americas,SMB,134600,14.4,2.7,83,97.5,16
2024-01,Americas,Consumer,82000,8.8,5.1,167,94.9,41
2024-01,EMEA,Enterprise,197900,20.2,1.6,36,98.3,10
2024-01,EMEA,SMB,113600,14.1,3.0,61,97.0,19
2024-01,EMEA,Consumer,62000,8.2,5.3,140,94.8,40
2024-01,APAC,Enterprise,182900,18.0,1.6,32,98.3,10
2024-01,APAC,SMB,98300,13.2,2.6,57,97.4,18
2024-01,APAC,Consumer,53400,8.0,5.4,124,94.7,37
2024-01,LATAM,Enterprise,115800,17.7,1.4,24,98.5,11
2024-01,LATAM,SMB,65500,12.1,2.9,41,97.1,10
2024-01,LATAM,Consumer,35100,7.6,5.1,81,95.0,31
2024-02,Americas,Enterprise,241300,20.2,1.5,56,98.6,10
2024-02,Americas,SMB,136400,14.3,2.8,85,97.4,10
2024-02,Americas,Consumer,85300,8.8,5.4,178,94.4,54
2024-02,EMEA,Enterprise,202800,20.1,1.0,41,99.0,10
2024-02,EMEA,SMB,115600,14.1,3.1,59,96.7,10
2024-02,EMEA,Consumer,61000,8.8,5.3,134,94.5,30
2024-02,APAC,Enterprise,182900,18.6,1.2,31,98.8,14
2024-02,APAC,SMB,96300,12.9,2.6,51,97.2,10
2024-02,APAC,Consumer,54600,7.9,5.5,125,94.5,28
2024-02,LATAM,Enterprise,114800,16.9,1.3,30,98.7,10
2024-02,LATAM,SMB,64500,12.2,3.2,31,96.7,11
2024-02,LATAM,Consumer,35600,7.9,5.2,75,94.8,14
2024-03,Americas,Enterprise,254200,20.2,1.3,54,98.6,10
2024-03,Americas,SMB,140200,14.0,2.6,72,97.4,19
2024-03,Americas,Consumer,83600,8.2,5.5,169,94.6,57
2024-03,EMEA,Enterprise,204800,20.6,1.0,39,99.1,10
2024-03,EMEA,SMB,118800,13.8,2.5,63,97.4,10
2024-03,EMEA,Consumer,63200,8.0,5.4,146,94.6,39
2024-03,APAC,Enterprise,189600,18.6,1.0,45,99.0,10
2024-03,APAC,SMB,102400,13.6,2.9,66,97.1,10
2024-03,APAC,Consumer,55500,7.8,5.4,132,94.6,26
2024-03,LATAM,Enterprise,116600,17.9,1.0,26,99.1,10
2024-03,LATAM,SMB,66300,13.2,2.9,40,97.1,10
2024-03,LATAM,Consumer,36900,8.0,5.3,86,94.6,17
2024-04,Americas,Enterprise,244400,19.4,1.1,50,98.9,10
2024-04,Americas,SMB,134400,14.2,2.7,85,97.4,10
2024-04,Americas,Consumer,84800,7.9,5.0,176,94.9,47
2024-04,EMEA,Enterprise,208600,19.8,1.1,40,99.1,10
2024-04,EMEA,SMB,116800,14.4,2.9,67,96.9,10
2024-04,EMEA,Consumer,63200,8.1,5.3,133,94.8,46
2024-04,APAC,Enterprise,183200,18.4,1.2,43,98.7,14
2024-04,APAC,SMB,100800,13.0,2.9,65,97.3,17
2024-04,APAC,Consumer,53700,7.3,5.3,120,94.8,25
2024-04,LATAM,Enterprise,120700,17.4,1.1,25,99.0,10
2024-04,LATAM,SMB,66800,12.0,2.8,36,97.3,11
2024-04,LATAM,Consumer,36200,7.5,5.0,75,95.2,24
2024-05,Americas,Enterprise,248700,19.3,1.3,51,98.7,10
2024-05,Americas,SMB,136900,13.5,2.7,81,97.4,14
2024-05,Americas,Consumer,83600,7.8,5.1,162,94.9,43
2024-05,EMEA,Enterprise,204400,19.1,1.0,34,99.1,10
2024-05,EMEA,SMB,112700,13.8,2.9,71,97.1,18
2024-05,EMEA,Consumer,61000,8.8,4.9,145,95.3,44
2024-05,APAC,Enterprise,187200,18.1,1.3,32,98.7,10
2024-05,APAC,SMB,98100,13.2,2.8,65,97.1,10
2024-05,APAC,Consumer,55400,7.4,5.2,121,94.8,30
2024-05,LATAM,Enterprise,117800,17.0,1.0,17,99.0,10
2024-05,LATAM,SMB,67400,12.1,2.9,43,97.0,10
2024-05,LATAM,Consumer,34800,7.0,5.2,82,94.7,16
2024-06,Americas,Enterprise,251100,19.5,1.3,51,98.6,16
2024-06,Americas,SMB,135200,14.0,2.8,80,97.1,10
2024-06,Americas,Consumer,80300,8.3,5.0,162,95.1,46
2024-06,EMEA,Enterprise,206200,19.4,0.9,36,99.0,13
2024-06,EMEA,SMB,117100,14.0,2.7,66,97.3,18
2024-06,EMEA,Consumer,63800,8.3,5.3,135,94.6,39
2024-06,APAC,Enterprise,184200,17.4,0.9,36,98.9,10
2024-06,APAC,SMB,99400,12.4,2.6,57,97.4,11
2024-06,APAC,Consumer,53100,7.6,5.0,119,95.0,35
2024-06,LATAM,Enterprise,121800,17.3,0.9,26,99.3,10
2024-06,LATAM,SMB,66800,12.4,3.0,35,96.9,10
2024-06,LATAM,Consumer,34700,7.2,5.4,78,94.5,25
2024-07,Americas,Enterprise,246600,18.5,1.5,56,98.4,11
2024-07,Americas,SMB,132900,13.7,3.3,77,96.7,14
2024-07,Americas,Consumer,78900,8.0,5.4,170,94.7,49
2024-07,EMEA,Enterprise,199200,18.3,1.3,35,98.6,11
2024-07,EMEA,SMB,113100,13.8,2.9,67,97.2,10
2024-07,EMEA,Consumer,59600,7.7,5.8,138,94.1,36
2024-07,APAC,Enterprise,183300,17.1,1.7,36,98.4,10
2024-07,APAC,SMB,98000,12.3,3.2,61,96.9,11
2024-07,APAC,Consumer,53500,7.3,5.8,117,94.0,34
2024-07,LATAM,Enterprise,115900,16.5,1.9,28,98.0,10
2024-07,LATAM,SMB,62900,11.9,3.4,30,96.6,15
2024-07,LATAM,Consumer,34900,6.9,5.7,83,94.4,17
2024-08,Americas,Enterprise,237500,19.0,1.4,48,98.6,10
2024-08,Americas,SMB,125300,13.2,3.0,72,96.8,10
2024-08,Americas,Consumer,80400,8.4,5.6,155,94.3,47
2024-08,EMEA,Enterprise,204700,18.7,1.3,40,98.6,10
2024-08,EMEA,SMB,106600,12.9,3.3,66,96.7,14
2024-08,EMEA,Consumer,57700,7.8,5.4,129,94.8,46
2024-08,APAC,Enterprise,183100,16.5,1.8,30,98.2,10
2024-08,APAC,SMB,94200,11.7,3.1,52,96.9,10
2024-08,APAC,Consumer,52300,6.9,5.8,117,94.4,39
2024-08,LATAM,Enterprise,119600,16.3,1.5,25,98.5,13
2024-08,LATAM,SMB,62300,11.0,3.3,40,96.8,10
2024-08,LATAM,Consumer,34300,7.3,5.4,77,94.8,30
2024-09,Americas,Enterprise,247400,19.6,1.5,55,98.4,14
2024-09,Americas,SMB,132000,14.2,3.1,71,97.0,10
2024-09,Americas,Consumer,80000,9.0,5.5,169,94.3,46
2024-09,EMEA,Enterprise,215300,18.9,1.4,49,98.5,10
2024-09,EMEA,SMB,112500,13.7,3.3,72,96.6,11
2024-09,EMEA,Consumer,63800,8.4,5.5,137,94.3,47
2024-09,APAC,Enterprise,198000,17.2,1.6,40,98.3,10
2024-09,APAC,SMB,98600,12.9,3.0,58,97.0,15
2024-09,APAC,Consumer,54000,7.2,5.7,131,94.4,34
2024-09,LATAM,Enterprise,126800,17.5,1.2,22,98.7,10
2024-09,LATAM,SMB,67400,12.7,2.9,43,97.1,10
2024-09,LATAM,Consumer,34500,7.8,5.4,81,94.6,26
2024-10,Americas,Enterprise,272000,20.9,0.9,58,99.0,10
2024-10,Americas,SMB,143000,14.8,2.4,87,97.8,14
2024-10,Americas,Consumer,86400,9.0,4.8,178,95.3,56
2024-10,EMEA,Enterprise,223100,20.9,1.0,52,99.2,10
2024-10,EMEA,SMB,125000,14.6,2.3,75,97.6,10
2024-10,EMEA,Consumer,65000,8.4,5.0,150,94.8,43
2024-10,APAC,Enterprise,214900,18.9,1.1,36,98.9,10
2024-10,APAC,SMB,105400,13.8,2.3,61,97.7,17
2024-10,APAC,Consumer,58000,8.4,4.7,138,95.4,37
2024-10,LATAM,Enterprise,132000,18.3,1.2,33,99.0,10
2024-10,LATAM,SMB,70700,13.1,2.5,45,97.3,10
2024-10,LATAM,Consumer,36900,8.5,4.9,77,94.9,14
2024-11,Americas,Enterprise,275200,20.7,0.8,57,99.1,16
2024-11,Americas,SMB,153000,15.6,2.4,87,97.5,10
2024-11,Americas,Consumer,89100,9.4,4.9,192,95.2,40
2024-11,EMEA,Enterprise,237900,21.3,1.0,49,98.9,12
2024-11,EMEA,SMB,123100,14.6,2.6,74,97.4,18
2024-11,EMEA,Consumer,67600,9.5,4.9,146,95.0,47
2024-11,APAC,Enterprise,219700,19.8,1.0,38,99.1,10
2024-11,APAC,SMB,111900,13.9,2.3,63,97.7,15
2024-11,APAC,Consumer,60800,9.0,5.2,133,94.9,37
2024-11,LATAM,Enterprise,136500,18.5,0.8,21,99.3,10
2024-11,LATAM,SMB,73300,13.5,2.4,37,97.5,10
2024-11,LATAM,Consumer,39200,8.0,5.1,88,94.9,23
2024-12,Americas,Enterprise,292500,21.4,1.1,70,98.9,10
2024-12,Americas,SMB,155200,15.3,2.5,93,97.3,14
2024-12,Americas,Consumer,94400,10.2,4.8,197,95.0,52
2024-12,EMEA,Enterprise,245800,21.8,0.9,51,99.2,10
2024-12,EMEA,SMB,132700,16.1,2.3,78,97.5,10
2024-12,EMEA,Consumer,72900,9.6,5.1,163,95.0,45
2024-12,APAC,Enterprise,228700,20.2,0.9,41,99.3,10
2024-12,APAC,SMB,117900,14.5,2.5,66,97.5,13
2024-12,APAC,Consumer,61600,9.6,5.0,139,95.1,42
2024-12,LATAM,Enterprise,146000,19.6,0.8,26,99.1,10
2024-12,LATAM,SMB,79700,14.0,2.7,47,97.2,10
2024-12,LATAM,Consumer,40700,9.2,5.0,93,94.9,27
